transaction_id,customer_id,product_id,category,quantity_sold,unit_price,store_id,weather_conditions,holiday_indicator,target
1,4174,104,Clothing,5,553.37,4,Sunny,False,1
2,4507,132,Groceries,8,294.76,3,Rainy,False,0
3,1860,164,Clothing,1,313.71,7,Sunny,True,1
4,2294,117,Clothing,5,359.43,2,Sunny,False,0
5,2130,195,Clothing,3,625.08,6,Stormy,True,1
6,2095,148,Clothing,4,340.71,4,Sunny,False,1
7,4772,110,Electronics,2,735.37,6,Stormy,False,1
8,4092,184,Groceries,9,410.48,4,Sunny,False,0
9,2638,125,Groceries,3,77.67,4,Cloudy,False,0
10,3169,162,Electronics,2,785.92,4,Rainy,True,0
11,1466,188,Groceries,9,292.9,9,Cloudy,False,1
12,2238,185,Electronics,7,438.44,7,Rainy,False,1
13,1330,158,Electronics,6,688.59,3,Rainy,False,1
14,2482,126,Clothing,1,339.13,3,Sunny,False,1
15,3135,148,Electronics,5,66.02,6,Sunny,False,1
16,4444,176,Groceries,3,380.18,6,Stormy,True,0
17,4171,132,Groceries,1,945.0,4,Sunny,False,1
18,3919,197,Clothing,4,645.32,9,Sunny,False,0
19,4735,198,Electronics,2,674.76,4,Cloudy,False,1
20,1130,100,Electronics,2,635.96,9,Sunny,False,1
21,2685,120,Clothing,3,207.0,4,Stormy,True,0
22,4380,154,Groceries,8,424.15,2,Cloudy,False,1
23,1769,105,Clothing,8,753.43,2,Rainy,True,1
24,3391,191,Electronics,7,110.36,5,Cloudy,False,1
25,2515,180,Clothing,6,285.07,4,Sunny,False,1
26,4485,168,Clothing,9,283.56,7,Sunny,False,1
27,3853,194,Clothing,4,437.7,5,Rainy,False,0
28,3433,104,Electronics,1,980.57,6,Sunny,False,0
29,2215,102,Clothing,8,76.83,4,Cloudy,False,1
30,1955,152,Clothing,7,523.51,2,Stormy,False,1
31,3324,122,Groceries,7,187.57,9,Rainy,True,0
32,2184,152,Electronics,3,970.97,7,Sunny,False,1
33,1459,136,Clothing,4,122.17,4,Stormy,False,0
34,4385,173,Groceries,9,409.56,3,Rainy,False,0
35,1021,173,Electronics,6,740.51,3,Rainy,False,1
36,3300,182,Groceries,5,707.51,9,Sunny,False,0
37,1747,116,Clothing,3,428.5,5,Stormy,False,1
38,3904,184,Electronics,9,353.06,3,Rainy,False,1
39,4632,177,Electronics,5,403.64,5,Cloudy,False,0
40,1474,172,Clothing,5,271.63,2,Cloudy,False,1
41,2082,100,Electronics,4,213.28,4,Sunny,False,0
42,3558,150,Clothing,4,488.21,2,Rainy,False,1
43,4753,144,Electronics,1,275.85,2,Cloudy,True,1
44,3047,176,Clothing,7,294.59,8,Sunny,False,1
45,4547,103,Electronics,9,660.19,1,Cloudy,False,1
46,3747,161,Groceries,3,968.85,7,Stormy,False,1
47,1975,164,Groceries,2,607.6,5,Rainy,False,0
48,2806,131,Groceries,3,86.21,8,Cloudy,True,0
49,1189,133,Clothing,1,84.83,1,Cloudy,False,1
50,4005,191,Electronics,6,951.91,7,Cloudy,False,1
51,3734,194,Clothing,7,304.32,5,Sunny,True,1
52,4005,171,Electronics,2,101.15,4,Sunny,True,0
53,1562,138,Electronics,8,603.05,7,Rainy,False,0
54,2899,125,Electronics,6,627.41,2,Rainy,False,0
55,4638,133,Electronics,4,652.02,1,Rainy,True,1
56,2267,153,Clothing,5,274.73,1,Cloudy,False,0
57,3879,102,Clothing,8,24.96,1,Sunny,False,0
58,2528,149,Electronics,3,965.37,5,Rainy,False,1
59,4202,111,Electronics,3,258.38,7,Sunny,False,0
60,4556,164,Groceries,4,679.27,2,Cloudy,False,1
61,4890,153,Electronics,1,709.56,8,Rainy,False,1
62,1646,104,Electronics,9,613.91,4,Sunny,False,1
63,3068,193,Electronics,8,319.78,3,Sunny,False,1
64,3888,193,Clothing,8,278.39,8,Cloudy,False,1
65,3214,156,Clothing,6,601.69,2,Rainy,False,0
66,2297,116,Electronics,7,867.43,3,Sunny,False,1
67,3435,146,Electronics,6,947.27,3,Stormy,False,1
68,1600,122,Clothing,9,114.85,1,Cloudy,True,0
69,3363,178,Clothing,3,163.28,6,Stormy,False,1
70,3061,184,Electronics,3,945.29,2,Rainy,False,0
71,1241,113,Groceries,3,739.17,1,Rainy,False,1
72,3041,165,Electronics,3,884.16,2,Cloudy,False,0
73,3824,174,Electronics,9,210.61,6,Rainy,False,1
74,4417,150,Groceries,4,591.71,4,Cloudy,False,1
75,3612,137,Electronics,7,704.13,6,Sunny,False,1
76,3945,163,Clothing,9,683.31,9,Rainy,False,1
77,2363,197,Electronics,7,414.07,8,Sunny,True,1
78,3139,137,Electronics,9,25.24,1,Sunny,True,0
79,2390,149,Groceries,3,587.1,8,Sunny,False,0
80,4003,197,Electronics,4,260.57,9,Sunny,False,1
81,2478,181,Groceries,8,455.75,6,Stormy,False,1
82,4499,129,Electronics,6,958.01,5,Sunny,True,1
83,3556,178,Electronics,5,405.04,6,Rainy,False,1
84,1775,190,Electronics,4,841.4,6,Cloudy,True,0
85,1034,150,Clothing,8,196.66,9,Rainy,True,1
86,3253,162,Electronics,1,675.74,4,Sunny,True,1
87,4152,197,Groceries,9,977.24,2,Cloudy,False,1
88,2955,151,Electronics,1,110.87,9,Rainy,False,0
89,2585,137,Groceries,8,18.24,2,Cloudy,False,0
90,4943,196,Electronics,4,439.25,9,Cloudy,False,0
91,4459,187,Groceries,9,101.7,2,Stormy,True,1
92,4073,178,Clothing,5,750.9,8,Rainy,False,1
93,2021,129,Clothing,3,915.4,9,Sunny,False,1
94,4461,150,Groceries,9,439.68,9,Rainy,False,0
95,3613,180,Clothing,9,266.12,9,Sunny,True,0
96,2129,104,Clothing,4,440.06,2,Cloudy,False,0
97,4843,128,Electronics,4,726.21,4,Sunny,False,1
98,4893,103,Electronics,8,18.96,7,Sunny,False,0
99,2500,109,Groceries,2,593.56,2,Cloudy,False,0
100,1702,155,Clothing,9,617.16,1,Rainy,True,0
101,3449,116,Clothing,6,641.31,3,Sunny,False,1
102,3777,173,Electronics,9,249.6,4,Rainy,True,1
103,2579,116,Electronics,8,716.91,8,Cloudy,False,1
104,1161,183,Electronics,7,100.48,6,Sunny,False,1
105,1201,187,Clothing,1,207.28,2,Cloudy,True,0
106,2981,168,Electronics,3,878.7,9,Sunny,False,0
107,1995,133,Electronics,2,741.34,2,Cloudy,False,1
108,3317,105,Electronics,5,23.61,5,Cloudy,True,1
109,4934,152,Electronics,5,255.89,4,Sunny,False,1
110,1815,165,Clothing,5,222.26,7,Rainy,False,1
111,4342,176,Electronics,4,278.1,8,Sunny,False,1
112,1455,142,Clothing,5,255.08,5,Cloudy,False,1
113,4533,174,Electronics,3,71.9,5,Rainy,False,0
114,4798,122,Electronics,1,464.35,2,Rainy,False,0
115,2275,154,Electronics,5,735.41,8,Sunny,False,0
116,2016,179,Electronics,9,610.66,2,Sunny,False,1
117,4773,194,Electronics,9,676.14,6,Sunny,True,0
118,3343,174,Electronics,4,90.34,8,Sunny,False,0
119,4796,115,Clothing,3,951.98,6,Rainy,False,1
120,3767,107,Electronics,1,840.11,4,Cloudy,True,1
121,4820,103,Clothing,2,807.04,4,Rainy,False,0
122,1337,103,Groceries,8,824.75,6,Rainy,False,0
123,1878,155,Clothing,1,933.38,4,Stormy,False,0
124,2076,124,Electronics,8,548.81,8,Cloudy,True,1
